media_name,reference_url
Team 1 Cell Stock Plate,
Novel Bio NBxCyclone Media,https://www.biorxiv.org/content/10.64898/2026.02.11.705132v1.full
Prepared LBv2 Media,
Defined-Minimal Media,
Semi-Defined Media,
High Buffer Defined Media,
Defined-Glycerol,
